epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.5761191844940186,0.6744198799133301,0.5955390930175781,0.6654906868934631
1,0.5976609587669373,0.6639329791069031,0.5947337746620178,0.6655544638633728
2,0.5975145697593689,0.6639642119407654,0.5945385098457336,0.6654431819915771
3,0.5974474549293518,0.6640027165412903,0.5940992832183838,0.6651485562324524
4,0.5979598760604858,0.663590133190155,0.5954658389091492,0.6656755805015564
5,0.5977524518966675,0.6636298298835754,0.5950021743774414,0.6651129722595215
6,0.5974687933921814,0.6637160181999207,0.5968568325042725,0.6651234030723572
7,0.5977708101272583,0.6635411977767944,0.5942944884300232,0.6651138663291931
8,0.5980575084686279,0.6635077595710754,0.595343828201294,0.6653638482093811
9,0.5981642603874207,0.6634743213653564,0.5952462553977966,0.6654377579689026
10,0.5981398820877075,0.6635093092918396,0.5963443517684937,0.665221631526947
11,0.5982710719108582,0.6635414361953735,0.5940260887145996,0.665229082107544
12,0.598432719707489,0.6635524034500122,0.5945141315460205,0.666147768497467
13,0.5978226661682129,0.6635995507240295,0.5961491465568542,0.6651897430419922
14,0.5979354977607727,0.6634462475776672,0.5955634713172913,0.6651136875152588
15,0.5981124043464661,0.6633790731430054,0.5963931679725647,0.6652612090110779
16,0.5983350872993469,0.6634026169776917,0.5955146551132202,0.6652962565422058
17,0.5980910658836365,0.6634343862533569,0.5950021743774414,0.6652393937110901
18,0.5976121425628662,0.6634141802787781,0.5944653153419495,0.665453314781189
19,0.5982558131217957,0.663392186164856,0.5956122875213623,0.66529381275177
20,0.5986157655715942,0.6633905172348022,0.5964908003807068,0.665141761302948
21,0.5983381271362305,0.6634261012077332,0.594221293926239,0.6652470231056213
22,0.5983320474624634,0.6634003520011902,0.5962223410606384,0.6652125120162964
23,0.5980819463729858,0.6633797883987427,0.5956611037254333,0.6650547385215759
24,0.5983473062515259,0.6633421182632446,0.5958563089370728,0.6653714179992676
25,0.5982008576393127,0.6634197235107422,0.5958563089370728,0.6653070449829102
26,0.5979507565498352,0.6633923053741455,0.596027135848999,0.6651859879493713
27,0.5983473062515259,0.6633557081222534,0.594806969165802,0.6653280854225159
28,0.5986554026603699,0.6633230447769165,0.5962955951690674,0.6653039455413818
29,0.598661482334137,0.663354218006134,0.5954658389091492,0.6651495099067688
30,0.5983686447143555,0.6633118987083435,0.5959539413452148,0.6652846336364746
31,0.598383903503418,0.6633917689323425,0.5956366658210754,0.6655758619308472
32,0.5985699892044067,0.6633910536766052,0.595343828201294,0.6651109457015991
33,0.5985120534896851,0.6633265614509583,0.5955390930175781,0.6652424335479736
34,0.5981124043464661,0.663337230682373,0.5961735844612122,0.6652666926383972
35,0.5984784960746765,0.663489043712616,0.5967104434967041,0.6653221249580383
36,0.5987163782119751,0.6633723378181458,0.5970520973205566,0.665327250957489
37,0.5983473062515259,0.663343071937561,0.5951486229896545,0.6652156710624695
38,0.5982283353805542,0.6633087992668152,0.5958563089370728,0.6651523113250732
39,0.5983869433403015,0.6633415222167969,0.5966616272926331,0.6653812527656555
40,0.5983198285102844,0.663314163684845,0.5950266122817993,0.6652961373329163
41,0.5982649326324463,0.6633254289627075,0.5959295034408569,0.6650828719139099
42,0.5983808636665344,0.6633189916610718,0.5960759520530701,0.6652429699897766
43,0.5984174609184265,0.6632729172706604,0.5960515141487122,0.6652456521987915
44,0.598759114742279,0.6633185148239136,0.5955634713172913,0.665155827999115
45,0.5982069969177246,0.6633086800575256,0.5955634713172913,0.6651417016983032
46,0.5980727672576904,0.6633168458938599,0.5960515141487122,0.665273129940033
47,0.5983229279518127,0.6633073091506958,0.5957099199295044,0.6652902960777283
48,0.5985455513000488,0.6633121967315674,0.5959295034408569,0.6651415228843689
49,0.5983350872993469,0.6633011102676392,0.5960515141487122,0.6652405261993408
50,0.5984906554222107,0.6632576584815979,0.5961979627609253,0.6651411056518555
51,0.598679780960083,0.6632859110832214,0.595978319644928,0.6650846600532532
52,0.5986767411231995,0.6632722020149231,0.5961003303527832,0.665242612361908
53,0.5982100367546082,0.6632672548294067,0.5953682661056519,0.6651022434234619
54,0.598444938659668,0.6633085608482361,0.594758152961731,0.6652079820632935
55,0.5980666875839233,0.6632633209228516,0.595978319644928,0.6650903224945068
56,0.5986859202384949,0.6632975935935974,0.5961491465568542,0.6652439832687378
57,0.5985364317893982,0.6632930636405945,0.5960027575492859,0.6653062701225281
58,0.598698079586029,0.6632726192474365,0.5952462553977966,0.6652815937995911
59,0.5986767411231995,0.6632853746414185,0.5961003303527832,0.6651100516319275
60,0.5984205007553101,0.6632685661315918,0.5952218174934387,0.6651723980903625
61,0.5986431837081909,0.6632601022720337,0.5961491465568542,0.6651521921157837
62,0.5986371040344238,0.6632224321365356,0.5946605205535889,0.6652840971946716
63,0.5983808636665344,0.6633034944534302,0.594855785369873,0.6651581525802612
64,0.5987163782119751,0.6632571816444397,0.596027135848999,0.6652278304100037
65,0.5986889600753784,0.6632141470909119,0.5955878496170044,0.665306806564331
66,0.598383903503418,0.6632443070411682,0.5948801636695862,0.6651541590690613
67,0.5984266400337219,0.6632568836212158,0.5951730012893677,0.665174663066864
68,0.5988109707832336,0.6632272005081177,0.5960515141487122,0.665101945400238
69,0.5987133383750916,0.6632225513458252,0.5951486229896545,0.6650793552398682
70,0.5983259677886963,0.6631900668144226,0.5952706336975098,0.665264904499054
71,0.5984845757484436,0.6631878614425659,0.5963687896728516,0.6652292609214783
72,0.5982741117477417,0.6631370782852173,0.5950266122817993,0.6651074290275574
73,0.5989360213279724,0.6630011796951294,0.5949046015739441,0.6649292707443237
74,0.5991007685661316,0.6628743410110474,0.5951974391937256,0.6648439764976501
75,0.5989634990692139,0.6627071499824524,0.5955634713172913,0.6646771430969238
76,0.5994119048118591,0.6625097990036011,0.5965884327888489,0.6646954417228699
77,0.5993020534515381,0.6623420715332031,0.5954902768135071,0.6653485298156738
78,0.5998938679695129,0.6620933413505554,0.5964908003807068,0.6643140316009521
